Country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bulgaria,12.18400002,12.34899998,13.03100014,13.53800011,13.33699989,13.50899982,13.69999981,12.19999981,14.10000038,16.21800041,19.92099953,18.10899925,13.7329998,12.0369997,10.08300018,8.951000214,6.877999783,5.609000206,6.816999912,10.27900028,11.26000023,12.27000046,12.94099998,11.42399979,9.142999649,7.574999809,6.164000034,5.261000156
Bahrain,0.97299999,1.032999992,1.128999949,1.13499999,1.128000021,1.105999947,1.085999966,1.059999943,1.078999996,1.052999973,1.031000018,1.05400002,1.06400001,1.041000009,0.986000001,0.904999971,0.838,0.834999979,1.069000006,1.129999995,1.139999986,1.200000048,1.215999961,1.149000049,1.075999975,1.013000011,0.947000027,0.962000012
"Bahamas, The",12.17000008,14.81000042,12.72000027,13.82999992,10.82999992,11.46000004,9.760000229,7.650000095,7.449999809,7.152999878,6.869999886,9.050000191,10.84000015,10.19999981,10.19999981,7.539999962,7.880000114,8.180000305,14.25,14.53999996,14.52000046,14.02000046,16.18000031,13.80000019,12,12.69999981,12.38099957,11.85000038
Bosnia and Herzegovina,17.54999924,18.37700081,19.51399994,20.39500046,21.21199989,21.92700005,22.90299988,23.69599915,25.31100082,26.18700027,27.12899971,28.22200012,29.03000069,29.86599922,30.48999977,31.11000061,28.98399925,23.40500069,24.06800079,27.31200027,27.58200073,28.01000023,27.45000076,27.5170002,27.64999962,25.40999985,20.46999931,20.8390007
Belarus,0.600000024,3.099999905,8.5,12.80000019,17.70000076,24.39999962,17.10000038,14,12.80000019,11.94200039,11.31400013,10.89299965,10.14999962,9.272000313,8.534999847,7.605000019,6.781000137,6.122000217,6.099999905,6.06099987,6.074999809,6.038000107,5.934999943,5.893000126,5.913000107,5.840000153,5.650000095,5.708000183
Belize,8.074000359,9.616999626,9.779999733,11.10000038,12.47999954,13.81999969,12.68000031,14.31000042,12.84000015,10.55900002,9.069999695,10.03999996,10.50399971,10.79800034,10.90999985,9.390000343,8.510000229,8.180000305,10.11499977,11.6590004,12.75800037,14.27000046,11.69999981,11.56999969,9.970000267,7.909999847,9,9.368000031
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,2.890000105,2.881000042,3.150000095,3.289999962,3.289000034,3.296999931,3.280999899,3.184000015,3.352999926,3.365999937,3.417999983,3.460000038,3.503000021,3.461999893,3.256000042,2.987999916,2.72300005,2.602999926,2.862999916,2.576999903,2.219000101,2.048000097,2.394000053,2.006999969,3.065999985,3.055999994,3.23300004,3.257999897
Brazil,6.260000229,6.420000076,6.03000021,6.09800005,6.420000076,7.252999783,8.157999992,9.423000336,10.20800018,9.894000053,9.609999657,9.37100029,9.991000175,9.104999542,9.56799984,8.638999939,8.326999664,7.342999935,8.522000313,7.725999832,6.916999817,7.19299984,6.985000134,6.670000076,8.437000275,11.60900021,12.82699966,12.54399967
Barbados,22.49300003,22.94000053,24.54000092,22.97999954,19.65999985,14.71000004,14.60999966,12.39999962,10.60999966,9.350000381,9.850000381,10.31999969,11,9.569999695,9.079999924,8.729999542,7.409999847,8.119999886,10.02000046,10.68999958,11.18999958,11.59000015,11.55000019,12.17000008,11.35000038,9.720000267,9.487000465,9.56799984
Brunei Darussalam,4.699999809,4.90500021,5.175000191,5.268000126,5.337999821,5.375999928,5.418000221,5.447999954,5.572000027,5.599999905,5.633999825,5.771999836,5.881000042,5.914999962,5.868999958,5.743000031,5.624000072,5.697000027,6.423999786,6.657999992,6.71999979,6.896999836,7.028999805,6.965000153,7.756000042,8.559000015,9.315999985,9.223999977
Bhutan,1.294999957,1.215999961,1.30400002,1.269000053,1.325999975,1.33099997,1.411000013,1.399999976,1.399999976,1.707999945,1.899999976,1.866000056,1.799999952,2.49000001,3.099999905,3.130000114,3.700000048,3.46600008,3.960000038,3.319999933,3.230000019,2.049999952,2.869999886,2.630000114,2.450000048,2.338999987,2.170000076,2.197000027
Botswana,13.81999969,15.86600018,18.58300018,21.20000076,21.38800049,21.57999992,21.64800072,20.86000061,18.92900085,15.88000011,18.54000092,21.20299911,23.79999924,21.68400002,19.83200073,17.79999924,16.62899971,15.93000031,16.16900063,17.86000061,17.77000046,17.91300011,18.2859993,18.22299957,17.95599937,17.9489994,17.63100052,17.94099998
Central African Republic,6.741000175,6.835999966,7.119999886,7.236999989,7.184000015,7.531000137,7.626999855,7.471000195,7.609000206,7.59100008,7.597000122,7.681000233,7.717000008,7.599999905,7.329999924,6.959000111,6.605999947,6.388999939,6.872000217,6.926000118,7.001999855,6.918000221,6.894999981,6.901000023,6.754000187,6.646999836,6.447000027,6.482999802
Canada,10.31599998,11.19699955,11.37699986,10.39500046,9.48900032,9.619999886,9.100999832,8.277999878,7.583000183,6.828999996,7.218999863,7.664999962,7.573999882,7.184999943,6.757999897,6.320000172,6.035999775,6.137000084,8.343999863,8.055999756,7.511000156,7.291999817,7.073999882,6.914000034,6.906000137,6.999000072,6.340000153,5.920000076
Central Europe and the Baltics,9.500982433,9.866604378,11.18158676,11.29081502,10.86709121,10.13796154,9.159062351,8.951271136,10.38475719,12.43562688,13.22914818,13.74482392,12.9601933,12.9367946,12.05648301,10.10595738,7.809138348,6.604503161,8.488072992,9.899879276,9.789457526,9.978361647,10.04607396,8.951684534,7.816303048,6.488529311,5.293673577,4.32777046
Switzerland,1.77699995,2.811000109,3.717000008,3.878999949,3.326999903,3.704999924,4.203999996,3.596999884,3.144999981,2.665999889,2.49000001,2.924000025,4.116000175,4.315999985,4.436999798,4,3.65199995,3.349999905,4.116000175,4.80700016,4.407999992,4.485000134,4.747000217,4.826000214,4.801000118,4.918000221,4.796999931,4.882999897
Channel Islands,7.587999821,7.782999992,8.071000099,8.088000298,8.069000244,8.00399971,7.945000172,7.868000031,7.926000118,7.847000122,7.777999878,7.849999905,7.881000042,7.811999798,7.636000156,7.355999947,7.092000008,7.078999996,7.895999908,8.076000214,8.038000107,8.138999939,8.18500042,7.993000031,7.77699995,7.574999809,7.347000122,7.288000107
Chile,5.230000019,4.349999905,4.489999771,5.869999886,4.699999809,7.414000034,7.136000156,7.30700016,11.15799999,10.49100018,10.39000034,10.16800022,9.765000343,10.1619997,9.340000153,9.024000168,8.427000046,9.284999847,11.31299973,8.423999786,7.343999863,6.65899992,6.214000225,6.664999962,6.507999897,6.737999916,6.958000183,7.22300005
China,2.400000095,2.400000095,2.700000048,2.900000095,3,3.099999905,3.200000048,3.200000048,3.299999952,3.299999952,3.799999952,4.199999809,4.599999905,4.5,4.5,4.400000095,4.300000191,4.599999905,4.699999809,4.5,4.5,4.599999905,4.599999905,4.599999905,4.599999905,4.5,4.400000095,4.416999817
Cote d'Ivoire,6.56799984,6.699999809,5.998000145,5.063000202,4.099999905,4.197999954,4.099999905,4.099999905,4.461999893,4.671999931,4.941999912,5.369999886,5.456999779,5.631000042,5.671999931,5.693999767,5.56099987,5.607999802,6.493000031,6.75,7.291999817,7.22300005,4.254000187,3.660000086,3.112999916,2.598999977,2.487999916,2.480000019
Cameroon,7.257999897,7.43599987,7.736999989,7.906000137,8.022000313,8.06000042,8.041000366,8.031000137,8.123999596,7.618000031,7.460000038,6.818999767,6.089000225,5.116000175,4.400000095,3.670000076,3.062999964,3.108999968,3.693000078,4.110000134,3.993000031,3.845000029,3.742000103,3.53399992,3.539000034,3.470999956,3.358999968,3.361000061
"Congo, Dem. Rep.",2.540999889,2.407000065,2.747999907,3.029000044,3.012000084,2.516000032,2.454999924,2.446000099,3.082000017,3.048000097,3.063999891,3.096999884,3.062000036,2.934999943,2.848999977,2.904000044,2.983999968,3.170000076,3.66899991,3.946000099,4.297999859,4.485000134,4.429999828,4.160999775,4.173999786,4.295000076,4.102000237,4.15500021
